ref_no,name,description,category,rate,hsn_code,gst_rate
50132132,Pacific TII UV 12L/hr Systems ,Thermo Scientific Barnstead include an RO membrane  a high purity water cartridge  UV lamp  and pressure regulator  120-240V  50/60Hz.,Water Purification System,813351,84212190,0.18
50132386,Pacific RO 7L/hr Systems,Thermo Scientific Barnstead include an RO membrane and pressure regulator  120-240V  50/60Hz.,Water Purification System,596967,84212190,0.18
50132387,Pacific RO 12L/hr Systems,Thermo Scientific Barnstead  include an RO membrane and pressure regulator  120-240V  50/60Hz.,Water Purification System,640185,84212190,0.18
50132388,Pacific RO 20L/hr Systems,Thermo Scientific Barnstead  include two RO membranes and a pressure regulator  120-240V  50/60Hz.,Water Purification System,808353,84212190,0.18
50139226,UV Lamp for Pacific and LT,,Water Purification System,11613,84799090,0.18
50134462,uv-lamp for Pacific TII / UV  16W,,Water Purification System,7202.999999999999,84799090,0.18
50155494,Pure water tank 30l UP/UPW with pressure,,Water Purification System,241373.99999999997,84799090,0.18
50155495,Pure water tank 30l UP/UPW/PW,,Water Purification System,146265,84799090,0.18
50155497,Pure water tank 30l for Smart2Pure,,Water Purification System,112749,84799090,0.18
50155499,Pure water tank 60l UP/UPW with pressure,,Water Purification System,254897.99999999997,84799090,0.18
50155500,Pure water tank 60l UP/UPW/PW,,Water Purification System,160524,84799090,0.18
50155501,Pure water tank 60l for Smart2Pure,,Water Purification System,114513,84799090,0.18
50155502,Pure water tank 100l UP/UPW with pressur,,Water Purification System,360297,84212190,0.18
50155503,Pure water tank 100l UP/UPW/PW,,Water Purification System,346332,84212190,0.18
19.0050,Pressure pump for Pacific 40 litres,,Water Purification System,124802.99999999999,84799090,0.18
D502113,CART ASSY 1 MICRON,,Water Purification System,15875.999999999998,84799090,0.18
D502114,CART RO ANTI-SCALENT,,Water Purification System,25284,84799090,0.18
D502115,CART ASSY RO CARBON,,Water Purification System,12348,84799090,0.18
50132391,LabTower RO 40L/hr Systems,"Thermo Scientific Barnstead include two RO membranes  5"" pre-filter 5uM cartridge + activated carbon cartridge  5"" hardness stabilizing cartridge  integrated 100L tank  and a pressure regulator  120-240V  50/60Hz/",Water Purification System,1618764,84212190,0.18
09.1002,Replacement UV lamp for Micropure and Smart2Pure UV Models,,Water Purification System,30869.999999999996,84799090,0.18
09.1006,Polishing Cartridge for Micropure Systems,,Water Purification System,54831,84799090,0.18
09.1018,Filter set for MicroLab,,Water Purification System,61445.99999999999,84799090,0.18
09.1019,Filter set for MicroMed 6,,Water Purification System,53508,84799090,0.18
09.1020,Polishing Cartridge for Smart2Pure Systems,,Water Purification System,21903,84799090,0.18
09.1102,Disinfection Cartridge for Micropure Systems,,Water Purification System,51744,84799090,0.18
09.2003,RO Membrane and integrated pretreatment for Smart2Pure 3L/hr models,,Water Purification System,32045.999999999996,84799090,0.18
09.2005,Cartridge Set for Type 1 System,,Water Purification System,49392,84799090,0.18
09.2006,RO Membrane and integrated pretreatment for Smart2Pure 6L/hr models,,Water Purification System,43953,84799090,0.18
09.2012,RO Membrane and integrated pretreatment for Smart2Pure 12L/hr models,,Water Purification System,41748,84799090,0.18
09.2212,Wall mounting bracket kit for Micropure,,Water Purification System,18669,84799090,0.18
06.5001,Sterile overflow f. storage tank 30-100l,,Water Purification System,18228,84799090,0.18
06.5002,CO2 Adsorber and vent filter for 30L-100L storage tanks for Smart 2 Pure  Pacific and Lab Towers,,Water Purification System,23079,84799090,0.18
06.5006,UV assembly light for 30L-100L storage tanks for Smart 2 Pure  Pacific and Lab Towers (EU only),,Water Purification System,102753,84799090,0.18
06.5015,Wall mounting kit for 30L storage tank for Smart 2 Pure  Pacific  and Lab Towers,,Water Purification System,34986,84799090,0.18
06.5016,Wall mounting kit for 60L storage tank for Smart 2 Pure  Pacific  and Lab Towers,,Water Purification System,34986,84799090,0.18
06.5038,Feed water storage tank 30 litres,,Water Purification System,127595.99999999999,84799090,0.18
06.5100,tank 100 liters,,Water Purification System,206682,84799090,0.18
06.5101,"1 µm Pre-Filter for 10"" pressure outlet for Lab Tower Systems",,Water Purification System,1470,84799090,0.18
06.5106,pre filter 20 ¿  poresize 1 µm,,Water Purification System,1764,84799090,0.18
06.5204,"10"" Combi 5micron hardness",,Water Purification System,3528,84799090,0.18
06.5300,tank 300 liters,,Water Purification System,245195.99999999997,84799090,0.18
06.5512,External Pressure Pump at 1.5 m3/hr for Lab Tower EDI System,,Water Purification System,187719,84799090,0.18
06.5555,"Sterile Filter 0.2 µm for 10"" pressure outlet for Lab Tower TII and RO",,Water Purification System,22785,84799090,0.18
CAL1,Calibartion Service,,Services,0,998346,0.18
CAL2,Temerture Mapping,,Services,0,998346,0.18
CAL3,Validation Service,,Services,0,998346,0.18
CAL4,HVAC Validation,,Services,0,998346,0.18
75007366,"Thermo Scientific X4TR, 220-240V/120V",,Bio Safety Cabinets,0,84212190,0.18
75003698,F15-6x100 CF rotor,,Bio Safety Cabinets,0,84799090,0.18
75003103,ADAPTOR 1 X 50 ML CONICAL,,Bio Safety Cabinets,0,84799090,0.18
75003095,ADAPTER 1X15 ML,,Bio Safety Cabinets,0,84799090,0.18
75003602,Microliter 48x2ml - sealed,,Bio Safety Cabinets,0,84799090,0.18
Validation Centrifuge,Validation IQOQPQ Centrifuge India APJ,,Bio Safety Cabinets,0,84799090,0.18
TSX40086CA-ULTS,TSX Universal Series ULT freezers 549L,,Freezers,0,84212190,0.18
920090-IN,Sliding drawer rack,,Freezers,0,84212190,0.18
TSV335RLGF,TSV Series Refrigerators,,Freezers,0,84799090,0.18
TSV332FLSF,TSV Series Freezers 335L,,Freezers,0,84799090,0.18
TSGP20,Precision GP 20 Water Bath,,Water Bath,0,84799090,0.18
50157882,Smart2Pure Pro UV/UF 16LPH with 30 Liter tank ,,Water Purification System,0,84212190,0.18
51028140,OVEN GP 100L 230V - OGS100,,Oven,0,84799090,0.18
